Linear nucleus of the medulla,5
"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",1
"Parasubiculum, layer 2",39
"Parasubiculum, layer 3",21
"Primary somatosensory area, unassigned, layer 4",15
"Parasubiculum, layer 1",10
"Postsubiculum, layer 2",19
"Postsubiculum, layer 3",15
"Postsubiculum, layer 1",12
"Primary motor area, Layer 6b",24
"Primary motor area, Layer 6a",152
"Flocculus, molecular layer",50
"Bed nuclei of the stria terminalis, anterior division, fusiform nucleus",4
Posterior complex of the thalamus,76
"Visceral area, layer 2/3",22
"Anteromedial nucleus, dorsal part",26
Anterior amygdalar area,39
"Superior colliculus, zonal layer",48
"Orbital area, medial part, layer 2/3",12
"Field CA2, stratum oriens",11
"Secondary motor area, layer 2/3",204
"Crus 2, molecular layer",124
"Supplemental somatosensory area, layer 6a",84
"Medial amygdalar nucleus, posteroventral part",3
"Pyramus (VIII), molecular layer",21
"Perirhinal area, layer 2/3",30
"Inferior colliculus, central nucleus",105
Nucleus of reunions,42
"Lobule III, molecular layer",90
"Lateral reticular nucleus, magnocellular part",30
"Cortical amygdalar area, posterior part, lateral zone, layer 2",21
"Cortical amygdalar area, posterior part, lateral zone, layer 3",24
"Cortical amygdalar area, posterior part, lateral zone, layer 1",20
Diagonal band nucleus,83
"Agranular insular area, ventral part, layer 1",9
"Bed nuclei of the stria terminalis, anterior division, ventral nucleus",5
"Folium-tuber vermis (VII), molecular layer",18
"Anterior hypothalamic nucleus, anterior part",17
"Field CA1, pyramidal layer",140
"Orbital area, medial part, layer 6a",7
"Subiculum, dorsal part, pyramidal layer",64
"Copula pyramidis, granular layer",61
"Primary somatosensory area, barrel field, layer 1",70
"Lateral reticular nucleus, parvicellular part",2
"Mediodorsal nucleus of the thalamus, medial part",36
"Primary somatosensory area, barrel field, layer 4",84
"Retrosplenial area, lateral agranular part, layer 5",19
Anteroventral preoptic nucleus,6
"Retrosplenial area, lateral agranular part, layer 1",11
"Spinal nucleus of the trigeminal, interpolar part",118
Paraventricular nucleus of the thalamus,44
"Primary somatosensory area, mouth, layer 2/3",59
"Dentate gyrus, molecular layer",264
"Superior colliculus, motor related, intermediate gray layer",110
Ventral part of the lateral geniculate complex,37
Dentate nucleus,22
"Crus 1, molecular layer",190
"Mediodorsal nucleus of the thalamus, lateral part",35
"Nucleus of the solitary tract, lateral part",20
Central linear nucleus raphe,8
"Cortical amygdalar area, posterior part, medial zone, layer 2",15
"Cortical amygdalar area, posterior part, medial zone, layer 3",23
"Subiculum, ventral part, pyramidal layer",170
"Anteromedial visual area, layer 4",13
"Anteromedial visual area, layer 5",33
Tuberal nucleus,32
"Periventricular hypothalamic nucleus, anterior part",4
"Primary somatosensory area, mouth, layer 6a",42
"Primary somatosensory area, mouth, layer 6b",9
"Cochlear nucleus, subpedunclular granular region",2
invalid,46982
"Tuberomammillary nucleus, ventral part",1
Granular lamina of the cochlear nuclei,1
Fields of Forel,3
"Dorsal auditory area, layer 2/3",47
"Tuberomammillary nucleus, dorsal part",1
"Entorhinal area, lateral part, layer 4/5",13
"Primary somatosensory area, nose, layer 6b",2
"Primary somatosensory area, nose, layer 6a",13
Median eminence,4
"Nucleus of the lateral olfactory tract, molecular layer",16
"Piriform area, pyramidal layer",247
"Dorsal auditory area, layer 6b",9
"Dorsal auditory area, layer 6a",32
Dopaminergic A13 group,2
Pontine central gray,44
"Entorhinal area, lateral part, layer 2/3",14
Hypothalamus,101
"Posterior parietal association areas, layer 6a",38
"Posterior parietal association areas, layer 6b",12
"Anterolateral visual area, layer 2/3",38
